MODULENAME;ELEMENTNAME1;ELEMENTName2;ELEMENTNAME3;DEPT_ATTACHEMENT
Automatismes industriels;Automatismes industriels ;Supervision;;GEI
Technologie mecanique;RDM;Conception des systemes mecaniques;;GEI
Solaire thermique et geothermie;Solaire thermique basse temperature;Solaire thermique HT;Geothermie;GEI
Energie eolienne;Aerodynamique;Electronique de puissance;Etude economique;GEI
Legislation et droit de l environnement;Droit de l environnement;Technique d EIE;Projets d etude de cas EIE;SIC
Langues et communication 2;Allemend Anglais professionnel;Techniques de Communication;;SIC
Technologie gaziere et thermique;technologie gaziere;Machines Thermiques 2;Technologies des cyclescombines;GEI
Management Environnemental;Developpement durable;SME ISO 14001;Projet SME;SIC
Maintenance et qualite;Maintenance et surete de fonctionnement ;Outils statistiques qualite;;GEI
Energies photovoltaique et hydraulique;Energie photovoltaique;Energie hydraulique;Techniques de stockage;GEI
Management QHSE;Systeme de management de la qualite;Management du risque;Systeme de management integre;SIC
Management de l entreprise 2;Economie et comptabilite 2;Projet Collectif interdisciplinaire 1 et stage;Management de projet;SIC
