MODULENAME;ELEMENTNAME1;ELEMENTName2;ELEMENTNAME3;DEPT_ATTACHEMENT
Statistique et signal;statistiques appliquees;traitement de signal;;SIC
electronique;electronique analogique;electronique numerique;;MI
materiaux;sciences des materiaux;dessin industriel;;GEI
informatique;bases de donnees ;technologies web;;GEI
automatique 1 et electrotechnique 1;electrotechnique;automatique lineaire;;GEI
management de l entreprise 1;Organisation et gestion des entreprises;comptabilite 1;economie 1;GEI
Resistance des materiaux;RDM;TP RDM et prjet individuel;;GEI
Fluides et structures;Structures et vibrations ;mecanique des fluides;;GEI
Machines industrielles ;Machines thermiques;Machines hydrauliques;Installations electriques;GEI
Simulation et metrologie;Systeme d information ;Simulation des systemes industriels Labview;;GEI
Langues et communication 1;Developpement personnel ;methodologie de projet pro;Anglais 1 et espagnol;SIC
